2,3,4,7,11,25,29,Janeiro
1,4,10,17,24,25,29,Dezembro
8,11,14,20,22,25,27,Fevereiro
2,5,9,11,12,20,23,Novembro
7,12,22,24,25,26,30,Novembro
5,8,10,14,21,24,31,Junho
2,7,8,13,18,24,30,Setembro
2,8,9,12,22,23,28,Novembro
1,2,9,17,19,20,22,Fevereiro
3,5,8,12,20,23,27,Janeiro
8,11,15,16,20,25,30,Novembro
5,6,14,15,27,28,30,Maio
3,5,6,11,18,22,31,Fevereiro
1,14,23,25,26,27,28,Abril
5,8,10,12,18,29,30,Março
1,5,8,22,24,28,29,Junho
6,7,15,20,22,26,30,Janeiro
7,14,16,17,18,23,24,Janeiro
1,2,10,16,24,25,27,Julho
2,7,9,10,13,15,22,Junho
4,12,14,15,23,24,25,Outubro
9,18,20,25,26,30,31,Agosto
3,7,12,14,17,21,27,Fevereiro
3,7,14,19,21,22,29,Agosto
5,18,20,24,26,27,31,Dezembro
7,18,20,21,25,26,29,Outubro
10,11,12,16,17,20,26,Junho
6,13,16,19,20,21,31,Novembro
3,4,6,17,18,19,20,Agosto
4,10,17,18,21,27,31,Janeiro
1,3,4,6,14,16,26,Janeiro
2,5,6,13,18,24,25,Março
1,2,8,10,13,20,26,Junho
4,18,19,21,24,27,31,Novembro
1,5,6,13,20,24,30,Julho
9,11,13,15,18,20,24,Janeiro
1,2,6,10,21,24,29,Abril
1,3,10,13,15,18,27,Junho
9,10,13,16,20,23,30,Maio
5,11,13,15,19,20,22,Maio
2,7,17,20,23,25,26,Agosto
7,8,11,15,21,25,29,Outubro
3,14,16,18,24,26,29,Fevereiro
1,2,8,11,12,17,21,Maio
8,9,18,19,25,26,27,Julho
5,8,15,16,17,24,29,Fevereiro
4,9,10,18,19,26,31,Outubro
8,10,11,21,25,28,29,Agosto
2,4,19,20,23,24,28,Novembro
2,3,17,18,22,23,28,Abril
3,4,12,20,23,29,31,Agosto
6,7,8,15,16,17,31,Setembro
2,4,6,19,24,27,28,Agosto
1,4,5,7,21,22,27,Maio
3,17,23,24,25,27,29,Fevereiro
8,11,14,16,18,21,23,Julho
1,3,5,8,24,25,26,Setembro
2,3,4,6,8,25,29,Setembro
4,8,9,11,13,15,22,Outubro
12,16,17,18,19,25,27,Setembro
4,5,16,17,19,25,26,Setembro
2,5,7,15,21,27,29,Abril
5,13,14,20,21,29,30,Julho
5,6,7,8,9,12,18,Janeiro
1,2,8,9,14,16,29,Maio
2,10,11,13,16,19,27,Junho
